# STN;YYYYMMDD;HH;T
260;20180212;17;36
260;20180212;18;27
260;20180212;19;26
260;20180212;20;26
260;20180212;21;15
260;20180212;22;10
260;20180212;23;11
260;20180212;24;9
260;20180213;1;-6
260;20180213;2;2
260;20180213;3;1
260;20180213;4;-6
260;20180213;5;-11
260;20180213;6;-8
260;20180213;7;-9
260;20180213;8;2
260;20180213;9;17
260;20180213;10;32
260;20180213;11;47
260;20180213;12;53
260;20180213;13;59
260;20180213;14;62
260;20180213;15;60
260;20180213;16;51
260;20180213;17;36
260;20180213;18;28
260;20180213;19;21
260;20180213;20;15
260;20180213;21;11
260;20180213;22;9
260;20180213;23;5
260;20180213;24;-2
260;20180214;1;-5
260;20180214;2;-10
260;20180214;3;-14
260;20180214;4;-19
260;20180214;5;-18
260;20180214;6;-18
260;20180214;7;-20
260;20180214;8;-12
260;20180214;9;3
260;20180214;10;15
260;20180214;11;26
260;20180214;12;40
260;20180214;13;50
260;20180214;14;51
260;20180214;15;48
260;20180214;16;43
260;20180214;17;40
260;20180214;18;40
260;20180214;19;38
260;20180214;20;36
260;20180214;21;34
260;20180214;22;33
260;20180214;23;31
260;20180214;24;32
260;20180215;1;21
260;20180215;2;9
260;20180215;3;6
260;20180215;4;8
260;20180215;5;10
260;20180215;6;14
260;20180215;7;16
260;20180215;8;21
260;20180215;9;27
260;20180215;10;37
260;20180215;11;46
260;20180215;12;55
260;20180215;13;75
260;20180215;14;97
260;20180215;15;96
260;20180215;16;86
260;20180215;17;74
260;20180215;18;65
260;20180215;19;65
260;20180215;20;52
260;20180215;21;47
260;20180215;22;37
260;20180215;23;23
260;20180215;24;40
260;20180216;1;36
260;20180216;2;33
260;20180216;3;37
260;20180216;4;22
260;20180216;5;21
260;20180216;6;21
260;20180216;7;20
260;20180216;8;31
260;20180216;9;48
260;20180216;10;63
260;20180216;11;66
260;20180216;12;71
260;20180216;13;81
260;20180216;14;80
260;20180216;15;79
260;20180216;16;71
260;20180216;17;55
260;20180216;18;16
260;20180216;19;0
260;20180216;20;-12
260;20180216;21;-17
260;20180216;22;-19
260;20180216;23;-20
260;20180216;24;-18
260;20180217;1;-22
260;20180217;2;-24
260;20180217;3;-15
260;20180217;4;-18
260;20180217;5;-12
260;20180217;6;-5
260;20180217;7;-7
260;20180217;8;-8
260;20180217;9;8
260;20180217;10;43
260;20180217;11;57
260;20180217;12;62
260;20180217;13;74
260;20180217;14;73
260;20180217;15;71
260;20180217;16;64
260;20180217;17;35
260;20180217;18;9
260;20180217;19;-9
260;20180217;20;-23
260;20180217;21;-28
260;20180217;22;-33
260;20180217;23;-32
260;20180217;24;-36
260;20180218;1;-39
260;20180218;2;-41
260;20180218;3;-43
260;20180218;4;-40
260;20180218;5;-43
260;20180218;6;-29
260;20180218;7;-31
260;20180218;8;-12
260;20180218;9;-2
260;20180218;10;14
260;20180218;11;34
260;20180218;12;48
260;20180218;13;56
260;20180218;14;68
260;20180218;15;72
260;20180218;16;65
260;20180218;17;46
260;20180218;18;34
260;20180218;19;16
260;20180218;20;2
260;20180218;21;2
260;20180218;22;-3
260;20180218;23;-13
260;20180218;24;-4
260;20180219;1;-10
260;20180219;2;-11
260;20180219;3;-2
260;20180219;4;4
260;20180219;5;1
260;20180219;6;4
260;20180219;7;3
260;20180219;8;4
260;20180219;9;5
260;20180219;10;10
260;20180219;11;19
260;20180219;12;24
260;20180219;13;28
260;20180219;14;31
260;20180219;15;33
260;20180219;16;31
260;20180219;17;29
260;20180219;18;28
260;20180219;19;28
260;20180219;20;25
260;20180219;21;18
260;20180219;22;14
260;20180219;23;-6
260;20180219;24;-23
260;20180220;1;-26
260;20180220;2;-32
260;20180220;3;-35
260;20180220;4;-37
260;20180220;5;-19
260;20180220;6;-20
260;20180220;7;-13
260;20180220;8;-5
260;20180220;9;16
260;20180220;10;34
260;20180220;11;39
260;20180220;12;40
260;20180220;13;45
260;20180220;14;44
260;20180220;15;41
260;20180220;16;40
260;20180220;17;35
260;20180220;18;22
260;20180220;19;14
260;20180220;20;9
260;20180220;21;1
260;20180220;22;-1
260;20180220;23;-3
260;20180220;24;-8
260;20180221;1;-6
260;20180221;2;-11
260;20180221;3;-17
260;20180221;4;-22
260;20180221;5;-31
260;20180221;6;-22
260;20180221;7;-36
260;20180221;8;-19
260;20180221;9;-4
260;20180221;10;19
260;20180221;11;33
260;20180221;12;39
260;20180221;13;39
260;20180221;14;44
260;20180221;15;41
260;20180221;16;35
260;20180221;17;23
260;20180221;18;13
260;20180221;19;2
260;20180221;20;-4
260;20180221;21;-6
260;20180221;22;-12
260;20180221;23;-12
260;20180221;24;-15
260;20180222;1;-19
260;20180222;2;-20
260;20180222;3;-23
260;20180222;4;-22
260;20180222;5;-24
260;20180222;6;-29
260;20180222;7;-27
260;20180222;8;-13
260;20180222;9;5
260;20180222;10;26
260;20180222;11;35
260;20180222;12;42
260;20180222;13;44
260;20180222;14;47
260;20180222;15;43
260;20180222;16;33
260;20180222;17;20
260;20180222;18;8
260;20180222;19;0
260;20180222;20;-6
260;20180222;21;-9
260;20180222;22;-17
260;20180222;23;-21
260;20180222;24;-20
260;20180223;1;-23
260;20180223;2;-29
260;20180223;3;-34
260;20180223;4;-30
260;20180223;5;-33
260;20180223;6;-32
260;20180223;7;-30
260;20180223;8;-22
260;20180223;9;-2
260;20180223;10;12
260;20180223;11;21
260;20180223;12;22
260;20180223;13;30
260;20180223;14;30
260;20180223;15;30
260;20180223;16;24
260;20180223;17;14
260;20180223;18;5
260;20180223;19;-1
260;20180223;20;-8
260;20180223;21;-10
260;20180223;22;-13
260;20180223;23;-17
260;20180223;24;-21
260;20180224;1;-24
260;20180224;2;-25
260;20180224;3;-28
260;20180224;4;-29
260;20180224;5;-33
260;20180224;6;-31
260;20180224;7;-30
260;20180224;8;-22
260;20180224;9;-6
260;20180224;10;9
260;20180224;11;21
260;20180224;12;25
260;20180224;13;23
260;20180224;14;29
260;20180224;15;29
260;20180224;16;24
260;20180224;17;15
260;20180224;18;5
260;20180224;19;-2
260;20180224;20;-4
260;20180224;21;-7
260;20180224;22;-9
260;20180224;23;-15
260;20180224;24;-18
260;20180225;1;-22
260;20180225;2;-26
260;20180225;3;-31
260;20180225;4;-35
260;20180225;5;-40
260;20180225;6;-43
260;20180225;7;-44
260;20180225;8;-35
260;20180225;9;-25
260;20180225;10;-17
260;20180225;11;-5
260;20180225;12;5
260;20180225;13;7
260;20180225;14;10
260;20180225;15;7
260;20180225;16;-1
260;20180225;17;-11
260;20180225;18;-17
260;20180225;19;-20
260;20180225;20;-24
260;20180225;21;-32
260;20180225;22;-38
260;20180225;23;-42
260;20180225;24;-49
260;20180226;1;-42
260;20180226;2;-37
260;20180226;3;-43
260;20180226;4;-50
260;20180226;5;-53
260;20180226;6;-57
260;20180226;7;-57
260;20180226;8;-48
260;20180226;9;-43
260;20180226;10;-32
260;20180226;11;-15
260;20180226;12;-14
260;20180226;13;-6
260;20180226;14;-1
260;20180226;15;-8
260;20180226;16;-16
260;20180226;17;-20
260;20180226;18;-26
260;20180226;19;-31
260;20180226;20;-34
260;20180226;21;-38
260;20180226;22;-39
260;20180226;23;-37
